,plant_id,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,operation_years,CAGR_netgen
206,56493,47492,46745,51140,45841,37747,43327,41009,37976,39185,28186,10,-5.46585554
215,56544,44297,42901,46422,42967,42091,40040,37729,33648,30160,28763,10,-4.345056742
626,57965,324,21934,31140,28256,29160,29763,22400,15678,30868,28769,10,3.059886199
834,59492,,,,,,21712,27901,26115,24782,29246,5,1.183961027
897,60404,,,,,1609,30387,30544,31082,30216,29562,6,-0.548990163
107,56153,40939,36240,37735,37928,36424,33805,33024,32301,35550,30036,10,-2.064685354
538,57578,28441,30948,30295,27535,28853,24519,27922,26324,31859,30203,10,-0.270379586
832,59490,,,,,,22829,29468,28489,26423,30332,5,0.725074327
23,10718,30489,28584,23329,28552,27156,26991,31227,30699,29328,30500,10,0.723488656
356,56959,163839,145999,159880,134254,136020,145153,131943,98167,44430,30670,10,-15.91721279
52,55354,31686,29814,36421,32944,32850,31552,26389,22600,23038,30671,10,0.315379622
835,59493,,,,,,22197,28524,28126,25435,30931,5,2.045975891
791,59076,,,,,9671,26128,31245,25282,35609,31704,6,3.944515287
187,56443,29246,28195,30056,23773,30264,26633,29883,28916,31616,32392,10,1.553801461
979,61677,,,,,,,13173,30857,34654,32770,4,2.025229482
833,59491,,,,,,23670,30914,28425,28209,33258,5,1.8439492
836,59494,,,,,,25523,31931,32023,29630,33350,5,1.092940622
779,59003,,,17342,29845,35548,30775,32031,33911,40336,33607,8,1.71042097
50,55342,22839,21567,22907,10915,17147,12920,6848,11360,32259,33983,10,5.181977301
451,57251,38276,38609,41421,38525,37035,37144,34364,33751,36420,34151,10,-1.354011247
186,56442,32751,31491,32787,26491,34029,30416,32515,30706,34130,34327,10,0.962720466
248,56636,46106,38839,41453,32111,40876,40876,38169,37139,37076.56,34615,10,-1.271160323
710,58464,,,34956,34158,38695,38430,39144,38170,36166,34984,8,0.341926022
181,56435,34438,31830,33975,28758,31284,28090,32707,30219,33170,35057,10,1.078733118
184,56440,32486,32318,35321,28014,31054,29858,33492,31676,34404,35397,10,1.016270644
452,57252,40886,40231,43099,40508,39300,37537,36106,36079,38784,35726,10,-1.310878024
711,58465,,,36373,35045,38823,39602,39144,37961,35857,36411,8,0.547751515
733,58691,,,,,3448,54211,51547,50096,47523,38230,6,-6.746878961
166,56386,74133,81421,91779,87478,84370,82577,72227,66759,48847,40004,10,-7.592452766
138,56302,124136,139369,158538,151583,178931,172388,171892,148722,81991,40096,10,-12.92737214
141,56307,61706,59686,60767,59207,57259,55159,47270,45609,47889,40776,10,-4.145019563
769,58940,,,4,39972,40666,43426,44291,44302,44192,41086,8,0.393460917
183,56439,36595,35646,38403,30428,38580,34625,37867,36487,40411,41189,10,1.618901045
249,56637,48276,42404,44719,34624,44697,38682,43448,39824,37614,41265,10,-0.302076322
347,56935,45039,43378,45077,35488,43190,38814,43082,40035,41982.27,41338,10,-0.533794962
701,58425,,44784,47813,50562,56022,47715,51829,48221,47201,41759,9,-1.67804349
30,50536,110279,162677,172090,130557,136626,138302,121860,99861,36984,41805,10,-14.01284823
31,50552,71929,66611,56710,57036,57869,56819,63695,47929,33916,42473,10,-4.877069695
22,10597,62838,63019,66775,53707,55674,48346,45134,43666,39458,42510,10,-4.280112942
328,56860,47083,49183,46999,44552,45632,44672,40901,39474,43742,42911,10,-1.504345852
569,57721,47634,51700,51207,48918.87,47017.08,48947.58,44870.76,37859,56150,43334,10,-1.942226888
696,58404,,,23526.36,30707,48090,41960,50390,47512,36972,43392,8,5.063818909
395,57087,52452,8013,67666,78906,90127,71266,74842,54199,68086,44205,10,20.89503699
273,56751,39991,46031,44786,45915,48248,46460,44398,49052,46312,45624,10,-0.098631202
460,57274,60395,60042,70892,62541,64930,58922,54123,54817,51883,47453,10,-2.580613217
309,56819,143723,127869,131894,146968,145288,149633,144762,153571,121006,47580,10,-10.40258844
93,56052,73780,80279,86810,74089,81824,82055,78045,71047,70865,48440,10,-5.458505239
742,58768,,,10154,56254,54969,39905,45405,50358,49701,48797,8,-2.011050457
44,54909,50812,48656,46726,35278,48993,48641,48422,47619,43524,48827,10,0.038988794
604,57853,1919,51837,48264,51738,51509,52290,51896,51462,51695,49114,10,-0.597762398
126,56271,65578,65334,58266,60768,63351,58306,63301,54003,56046,49607,10,-3.013447088
79,55871,49399,55453,54031,49307,50129,41128,45542,46016,52887,50165,10,-1.107359167
245,56633,75333,71379,78400,75629,73098,78605,73426,63638,54981,50334,10,-3.807005889
277,56755,64863,63057,65487,65282,61527,56169,58762,44860,57954,50998,10,-2.330770876
376,56991,42442,53938,55704,60895,57056,51780,53067,56636,57105,51819,10,-0.444325069
67,55742,56406,54058,58949,53302,46660,48308,39872,45408,52709,52038,10,-0.422254027
511,57431,12491,48986,53793,44365,53616,46579,47798,50137,50925,52699,10,0.815103326
535,57553,63729,60769,65018,64766,60350,61479,52955,53881,60955,53160,10,-1.475380859
495,57375,68330,64746,67287,66281,64864,49221,52285,55319,60463,53245,10,-2.149538906
37,52162,14816,18640,16839,13347,16012,16521,15766,12194,,53595.63,9,15.57173562
575,57749,60426,54268,59691,49976,60872,52380,53285,52110,53480,54175,10,-0.01905582
501,57396,60092,56217,58981,57393,56086,45021,40961,48055,55838,54983,10,-0.246309002
507,57427,13271,49467,56392,46727,57037,48920,54291,52259,53812,54992,10,1.183413574
244,56630,62387,55891,66610,67415,47148,56594,50813,46808,59419,55178,10,-0.14255432
199,56470,69108,70760,71682,59454,67877,71214,73266,62059,68127,55692,10,-2.625554204
620,57935,,71010,71779,72784,73845,61514,65514,60106,46088,56648,9,-2.915835552
759,58891,,,3309,76948,79391,186928,181237,71534,66478,57438,8,-4.091428009
650,58026,56374,59387.13,63185,66324,67647,62325,59126,60175,55861,57718,10,-0.316259431
509,57429,19157,52669,59184,48256,58880,50837,57625,55289,56532,58038,10,1.084403281
430,57171,38996,54805,59420,57147,60790,59276,49771,51692,55746,58078,10,0.646587006
393,57082,28501,44748,69480,65878,80196,66732,64083,63843,51069,58192,10,2.961918981
722,58620,,,,,,10597,57424,56925,58001,58282,5,0.371462303
419,57126,62833,61764,65032,52415,66803,60078,63278,62906,67735,58529,10,-0.595976004
656,58048,8644,84568,93530,76187,72976,78657,73127,75256,65168,58733,10,-3.969661813
269,56699,51035,60148,62100,58865,56344,61744,62385,57980,60465,58746,10,-0.261713887
182,56437,54588,56038,59015,47104,52557,46049,56611,45845,58940,58962,10,0.566745924
279,56764,66759,65337,68233,66387,62478,61920,54716,54287,61923,59042,10,-1.119348553
200,56479,290594,255566,265943,240200,154794,176124,204621,215241,143104,59561,10,-14.94151245
