,plant_id,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,operation_years,CACR
967,61221,,,,,,9.212971236595187,9.104003008034914,8.904999652290062,8.766997167441094,8.844005242119401,5,-0.8141190013851385
968,61222,,,,,,9.212881345027856,9.104010411804351,8.904998637295623,8.766994023167749,8.844005035027335,5,-0.8139259121270337
969,61261,,,,,,9.212999474237645,9.104000777608281,8.905000381114474,8.767001574208871,8.843998114796607,5,-0.8141957886108497
970,61269,,,,,,,9.104000486470937,8.905000165741255,8.766999105774214,8.844000370000588,4,-0.7217484449003497
971,61270,,,,,,,9.103999400697951,8.905000972621625,8.76700163932035,8.844000597360317,4,-0.7217448467813803
972,61303,,,,,,9.212998125270394,9.104003990518741,8.904997533262632,8.767000770555496,8.844001451338428,5,-0.8141854001638249
973,61330,,,,,,9.213040940548654,9.104010642564052,8.905002999289922,8.767001507212262,8.843996133191473,5,-0.8142895171701525
974,61343,,,,,,,,8.905000085689387,8.766999319214412,8.84399988284211,3,-0.2288602685064478
975,61344,,,,,,,,,8.76700931697974,8.844000022358808,2,0.4381335198265113
976,61356,,,,,,,9.103806296305429,8.904970479021179,8.766880073153034,8.843997047812717,4,-0.721228354912129
977,61357,,,,,,9.212944228772356,9.104000248791438,8.905002334029218,8.766999830567746,8.844000810234771,5,-0.8140707893672272
978,61402,,,,,,,,8.904999180668817,8.767001409899821,8.843999789604382,3,-0.22885723918426581
979,61407,,,,,,9.212976026028423,9.103999621674662,8.905001598995325,8.766996929349622,8.843996751959963,5,-0.8141483573914865
980,61417,,,,,,,,8.904999694345932,8.76699729909955,8.843997803900669,3,-0.22886662464454144
981,61443,,,,,,,,8.904699995532845,8.766796882010288,8.843893450331976,3,-0.22813974777635693
982,61540,,,,,,9.213057577672524,9.103927040410548,8.904958038806438,8.76696414360914,8.843980658696205,5,-0.814360048911944
983,61564,,,,,,,,8.904999555781012,8.767001726650376,8.844000255441372,3,-0.2288568883595743
984,61565,,,,,,,,8.905000181485093,8.767001973824446,8.843997195489855,3,-0.22887073181124817
985,61582,,,,,,,9.103978862294063,8.90499513895791,8.766997530816282,8.844000993512358,4,-0.7216877426119539
986,61584,,,,,,,9.103689567430026,8.904982458117006,8.767025151718494,8.843996585150363,4,-0.7209114130253824
