,plant_id,2013,2014,2015,2016,2017,2018,2019,2020,2021,operation_years,CACR_uptime
142,56337,2930.659751,2989.282158,2529.377593,2863.244813,2844.60166,2883.070539,2926.585062,2902.589212,2625.282158,9,-1.609960567
143,56338,2924.348485,2942.040404,2991.20202,2736.232323,2963.712121,2661.792929,2849.373737,2651.636364,2563.357041,9,-1.707573003
144,56347,2678.966027,2613.308715,2858.138848,2617.799114,2566.912851,2415.036928,2606.026588,2718.242245,2431.861152,9,-0.89546976
145,56351,3303.474747,3209.340067,3105.043771,2751.225589,2089.535354,2539.569024,2516.114478,2499.845118,1406.060606,9,-9.801661472
146,56355,3200.145218,3112.653981,3270.420631,3157.010516,3136.549825,2919.09364,2834.371557,2230.716074,1968.362544,9,-5.567436161
147,56357,3367.535354,3458.383838,3227.878788,3388.40404,3187.232323,2784.686869,2634.383838,3587.151515,3861.959596,9,1.389228084
148,56359,3063.88,2973.04,2685.666667,2790.64,2362.48,2556.826667,2581.666667,2695.053333,3543.546667,9,2.218540459
149,56360,1991.942029,2141.741294,1876.288557,2016.059701,1549.104478,2006.616915,889.1213768,2865.652174,2659.791667,9,2.744853291
150,56361,2529.728643,2599.356784,2169.979899,2527.236181,2352.065327,2566.658291,2244.537688,3017.547739,2798.944724,9,0.92901932
151,56362,2761.7,2652.186667,2790.74,2580.873333,2363.253333,2584.5,2544.853333,2626.88,3141.346667,9,2.138381654
152,56369,2733.565217,2840.115942,2635.768116,2624.985507,2804.724638,2812.376812,2592.985507,2739.217391,2548.57971,9,-1.344734666
153,56371,2928.193012,2804.472546,2477.374376,2838.159734,2643.264559,2705.91015,2355.234609,2619.021631,1718.399334,9,-5.939103688
154,56372,2963.142857,3099.093168,2560.47205,2959.801242,2855.726708,2677.714286,2706.534161,2419.52795,2145.142857,9,-4.494650466
155,56376,2086.470588,1820,2078.235294,1891.764706,2118.823529,1815.882353,1568.235294,1421.176471,1224.117647,9,-4.83681447
156,56377,3762.733333,3626.940741,3372.962963,3563.681481,3338.733333,3182.762963,3270.82963,3832.562963,3408.133333,9,-0.774792763
157,56378,5462.619048,4932.857143,4662.047619,5175.52381,3641.52381,5351.333333,5291.47619,5657.380952,5750.47619,9,1.935547272
158,56379,3818.979798,3660.79798,3647.323232,3733.252525,2972.474747,3681.222222,3285.695238,3375.095238,3657.961905,9,-0.009687221
159,56380,3233.775,3161.35,2653.833333,2802.933333,2043.216667,2345.258333,2192.658333,1968.175,1060.116667,9,-12.76613089
