,plant_id,YEAR,Netgen
626,54685,2013,19521.0
627,54685,2014,10878.0
628,54685,2015,16161.0
629,54685,2016,13937.0
630,54685,2017,10748.0
631,54685,2018,8793.0
632,54685,2019,5805.0
633,54685,2020,0.0
634,54686,2012,43359.0
635,54686,2013,38733.0
636,54686,2014,36690.0
637,54686,2015,34060.0
638,54686,2016,37610.0
639,54686,2018,34847.0
640,54686,2019,23451.0
641,54686,2020,24544.0
642,54686,2021,27921.0
643,54687,2012,12141.0
644,54687,2013,38733.0
645,54687,2014,3202.0
646,54687,2015,0.0
647,54750,2012,14141.0
648,54750,2013,12552.0
649,54750,2014,13236.0
650,54750,2015,13012.0
651,54750,2016,14093.0
652,54750,2017,12553.0
653,54750,2018,12579.0
654,54750,2019,11167.0
655,54750,2020,10513.0
656,54750,2021,7895.0
657,54793,2012,275556.0
658,54793,2013,216668.0
659,54793,2014,196897.0
660,54793,2015,203276.0
661,54793,2016,222302.0
662,54793,2017,214578.0
663,54793,2018,192916.0
664,54793,2019,189892.0
665,54793,2020,207288.0
666,54793,2021,98349.0
667,54794,2012,58286.0
668,54794,2013,57454.0
669,54794,2014,58088.0
670,54794,2015,54267.0
671,54794,2016,25486.0
672,54909,2012,50812.0
673,54909,2013,48656.0
674,54909,2014,46726.0
675,54909,2015,35278.0
676,54909,2016,48993.0
677,54909,2017,48641.0
678,54909,2018,48422.0
679,54909,2019,47619.0
680,54909,2020,43524.0
681,54909,2021,48827.0
682,54931,2012,122925.0
683,54931,2013,132885.0
684,54931,2014,144769.0
685,54931,2015,132125.0
686,54931,2016,151962.0
687,54931,2017,144091.0
688,54931,2018,137760.0
689,54931,2019,133872.0
690,54931,2020,139753.0
691,54931,2021,151800.0
692,54966,2012,13191.0
693,54966,2013,16197.0
694,54966,2014,0.0
695,54979,2012,67387.0
696,54979,2013,77283.0
697,54979,2014,85997.0
698,54979,2015,72854.0
699,54979,2016,69842.0
700,54979,2017,54863.0
701,54979,2018,36747.0
702,54979,2019,65121.0
703,54979,2020,73449.0
704,54979,2021,60644.0
705,55125,2012,69380.0
706,55125,2013,63440.0
707,55125,2014,67562.0
708,55125,2015,62338.0
709,55125,2016,76522.0
710,55125,2017,63777.0
711,55125,2018,67548.0
712,55125,2019,57529.0
713,55125,2020,83624.0
714,55125,2021,68658.0
715,55203,2012,4959.0
716,55203,2013,2270.0
717,55203,2014,0.0
718,55203,2015,0.0
719,55208,2012,246339.0
720,55208,2013,213709.0
721,55208,2014,235602.0
722,55208,2015,230792.0
723,55208,2016,224577.0
724,55208,2017,232962.0
725,55208,2018,210211.0
726,55208,2019,205402.0
727,55208,2020,243159.0
728,55208,2021,237212.0
729,55265,2012,277247.0
730,55265,2013,236064.0
731,55265,2014,272217.0
732,55265,2015,280610.0
733,55265,2016,280696.0
734,55265,2017,271661.0
735,55265,2018,137862.0
736,55265,2019,57121.0
737,55265,2020,454995.0
738,55265,2021,440862.0
739,55287,2012,195964.0
740,55287,2013,192947.0
741,55287,2014,192596.0
742,55287,2015,185884.0
743,55287,2016,154290.0
744,55287,2017,152092.0
745,55287,2018,134257.0
746,55287,2019,136692.0
747,55287,2020,151264.0
748,55287,2021,153814.0
749,55342,2012,22839.0
750,55342,2013,21567.0
751,55342,2014,22907.0
752,55342,2015,10915.0
753,55342,2016,17147.0
754,55342,2017,12920.0
755,55342,2018,6848.0
756,55342,2019,11360.0
757,55342,2020,32259.0
758,55342,2021,33983.0
759,55353,2012,28121.0
760,55353,2013,24227.0
761,55353,2014,29285.0
762,55353,2015,27844.0
763,55353,2016,25809.0
764,55353,2017,20220.0
765,55353,2018,19699.0
766,55353,2019,19416.0
767,55353,2020,16254.0
768,55353,2021,16412.0
769,55354,2012,31686.0
770,55354,2013,29814.0
771,55354,2014,36421.0
772,55354,2015,32944.0
773,55354,2016,32850.0
774,55354,2017,31552.0
775,55354,2018,26389.0
776,55354,2019,22600.0
777,55354,2020,23038.0
778,55354,2021,30671.0
779,55367,2012,167786.0
780,55367,2013,180289.0
781,55367,2014,180483.0
782,55367,2015,156271.0
783,55367,2016,122002.0
784,55367,2017,143131.0
785,55367,2018,118003.0
786,55367,2019,36698.0
787,55368,2012,12019.0
788,55368,2013,9479.0
789,55368,2014,9409.0
790,55368,2015,13442.0
791,55368,2016,12528.0
792,55368,2017,7729.0
793,55368,2018,4524.0
794,55368,2019,3001.0
795,55368,2020,2213.0
796,55368,2021,1686.0
797,55370,2012,7161.0
798,55370,2013,6026.0
799,55370,2014,5364.0
800,55370,2015,4810.0
801,55396,2012,32485.0
802,55396,2013,37530.0
803,55396,2014,24345.0
804,55396,2015,25748.0
805,55396,2016,23620.0
806,55396,2017,25600.0
807,55396,2018,16676.0
808,55396,2019,16223.0
809,55396,2020,11983.0
810,55396,2021,5917.0
811,55399,2012,30080.0
812,55399,2013,29058.0
813,55399,2014,0.0
814,55560,2012,402669.0
815,55560,2013,361447.0
816,55560,2014,367594.0
817,55560,2015,319124.0
818,55560,2016,381650.0
819,55560,2017,311660.0
820,55560,2018,383995.0
821,55560,2019,322622.0
822,55560,2020,436102.0
823,55560,2021,179237.0
824,55561,2012,5875.0
825,55561,2013,5420.0
826,55561,2014,6446.0
827,55561,2015,6055.0
828,55561,2016,5507.0
829,55561,2017,5559.0
830,55561,2018,4008.0
831,55561,2019,3634.0
832,55561,2020,5498.0
833,55561,2021,4476.0
834,55562,2012,5605.0
835,55562,2013,5279.0
836,55562,2014,6112.0
837,55562,2015,5746.0
838,55562,2016,5270.0
839,55562,2017,5196.0
840,55562,2018,4308.0
841,55562,2019,3926.0
842,55562,2020,5498.0
843,55562,2021,4476.0
844,55563,2012,4937.0
845,55563,2013,5348.0
846,55563,2014,5924.0
847,55563,2015,5794.0
848,55563,2016,5301.0
849,55563,2017,4992.0
850,55563,2018,3919.0
851,55563,2019,3849.0
852,55563,2020,5498.0
853,55563,2021,4476.0
854,55564,2012,4662.0
855,55564,2013,5087.0
856,55564,2014,5707.0
857,55564,2015,5843.0
858,55564,2016,5440.0
859,55564,2017,5080.0
860,55564,2018,3905.0
861,55564,2019,3825.0
862,55564,2020,5498.0
863,55564,2021,4476.0
864,55565,2012,5205.0
865,55565,2013,5251.0
866,55565,2014,6060.0
867,55565,2015,5733.0
868,55565,2016,4838.0
869,55565,2017,5143.0
870,55565,2018,4223.0
871,55565,2019,3980.0
872,55565,2020,5498.0
873,55565,2021,4476.0
874,55566,2012,5618.0
875,55566,2013,5135.0
876,55566,2014,6204.0
877,55566,2015,5597.0
878,55566,2016,5297.0
879,55566,2017,5053.0
880,55566,2018,3848.0
881,55566,2019,3231.0
882,55566,2020,5498.0
883,55566,2021,4476.0
884,55567,2012,6265.0
885,55567,2013,6511.0
886,55567,2014,6974.0
887,55567,2015,6628.0
888,55567,2016,6775.0
889,55567,2017,6013.0
890,55567,2018,5156.0
891,55567,2019,4260.0
892,55567,2020,4477.0
893,55567,2021,5308.0
894,55568,2012,5751.0
895,55568,2013,6163.0
896,55568,2014,6805.0
897,55568,2015,6476.0
898,55568,2016,6497.0
899,55568,2017,5860.0
900,55568,2018,4766.0
901,55568,2019,4288.0
902,55568,2020,4706.0
903,55568,2021,5308.0
904,55569,2012,5836.0
905,55569,2013,5892.0
906,55569,2014,6612.0
907,55569,2015,6319.0
908,55569,2016,6136.0
909,55569,2017,5567.0
910,55569,2018,5190.0
911,55569,2019,4387.0
912,55569,2020,4608.0
913,55569,2021,5308.0
914,55570,2012,6142.0
915,55570,2013,6202.0
916,55570,2014,6762.0
917,55570,2015,6478.0
918,55570,2016,6485.0
919,55570,2017,5588.0
920,55570,2018,4837.0
921,55570,2019,3923.0
922,55570,2020,4597.0
923,55570,2021,5308.0
924,55571,2012,6477.0
925,55571,2013,5387.0
926,55571,2014,6833.0
927,55571,2015,6687.0
928,55571,2016,6716.0
929,55571,2017,6059.0
930,55571,2018,5349.0
931,55571,2019,4444.0
932,55571,2020,4499.0
933,55571,2021,5308.0
934,55572,2012,5912.0
935,55572,2013,6044.0
936,55572,2014,6875.0
937,55572,2015,6375.0
938,55572,2016,5855.0
939,55572,2017,5161.0
940,55572,2018,4507.0
941,55572,2019,3886.0
942,55572,2020,4946.0
943,55572,2021,5308.0
944,55573,2012,6227.0
945,55573,2013,5950.0
946,55573,2014,6665.0
947,55573,2015,6282.0
948,55573,2016,6462.0
949,55573,2017,5571.0
950,55573,2018,5150.0
951,55573,2019,4397.0
952,55573,2020,4738.0
953,55573,2021,5308.0
954,55574,2012,5490.0
955,55574,2013,5746.0
956,55574,2014,6272.0
957,55574,2015,5699.0
958,55574,2016,5965.0
959,55574,2017,5374.0
960,55574,2018,4972.0
961,55574,2019,4334.0
962,55574,2020,4651.0
963,55574,2021,5308.0
964,55576,2012,5267.0
965,55576,2013,5082.0
966,55576,2014,5483.0
967,55576,2015,5530.0
968,55576,2016,5379.0
969,55576,2017,4324.0
970,55576,2018,4355.0
971,55576,2019,3893.0
972,55576,2020,4697.0
973,55576,2021,5305.0
974,55578,2012,881.0
975,55578,2013,219.0
976,55578,2014,52.0
977,55578,2015,0.0
978,55578,2016,0.0
979,55579,2012,252607.0
980,55579,2013,264529.0
981,55579,2014,259869.0
982,55579,2015,209123.0
983,55579,2016,198781.0
984,55579,2017,121412.0
985,55579,2018,113650.0
986,55579,2019,118242.0
987,55579,2020,149175.0
988,55579,2021,109598.0
989,55581,2012,616884.0
990,55581,2013,616942.0
991,55581,2014,662723.0
992,55581,2015,512493.0
993,55581,2016,468867.0
994,55581,2017,462136.0
995,55581,2018,312760.0
996,55581,2019,504280.0
997,55581,2020,600857.0
998,55581,2021,504346.0
999,55607,2012,108555.0
1000,55607,2013,113973.0
1001,55607,2014,110628.0
1002,55607,2015,104354.0
1003,55607,2016,138352.0
1004,55607,2017,126928.0
1005,55607,2018,133413.0
1006,55607,2019,121307.0
1007,55607,2020,49196.0
1008,55607,2021,154512.0
1009,55608,2012,5498.0
1010,55608,2013,6311.0
1011,55608,2014,6389.0
1012,55608,2015,5136.0
1013,55608,2016,5439.0
1014,55608,2017,5390.0
1015,55608,2018,5929.0
1016,55608,2019,5326.0
