,plant_id,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,operation_years,CAGR,operation_yrs_grp
186,56450,183205.0,153373.0,146651.0,183624.0,198797.0,220858.0,195181.0,202278.0,187761.0,102214.0,10,-5.668377099623989,3
187,56451,169760.0,162302.0,202479.0,188143.0,202849.0,212986.0,215962.0,194116.0,214046.0,196306.0,10,1.4634956606452532,3
188,56457,300284.0,300441.0,311362.0,277877.0,294560.0,268987.0,334664.0,340171.0,332992.0,196105.0,10,-4.171288781402849,3
189,56459,560809.0,525313.0,574438.0,549174.0,561746.0,531403.0,493088.0,464818.0,425744.0,295380.0,10,-6.209983740781199,3
190,56460,263997.0,251047.0,240923.0,237722.0,262259.0,230039.0,257254.0,239687.0,265372.0,171165.0,10,-4.2405600843041125,3
191,56466,536221.0,485852.0,542305.0,436657.0,526422.0,468904.0,500862.0,234734.0,648830.0,732284.0,10,3.165282722445051,3
192,56468,763349.0,814907.0,800260.0,726919.0,759196.0,663335.0,724004.0,699889.0,818420.0,853185.0,10,1.1188232711725865,3
193,56470,69108.0,70760.0,71682.0,59454.0,67877.0,71214.0,73266.0,62059.0,68127.0,55692.0,10,-2.135214401716745,3
194,56479,290594.0,255566.0,265943.0,240200.0,154794.0,176124.0,204621.0,215241.0,143104.0,59561.0,10,-14.657072994640997,3
195,56483,636477.0,585586.0,614093.0,539909.0,569491.0,554392.0,523856.0,528253.0,528593.0,477786.0,10,-2.827120881798739,3
196,56484,716153.0,680246.0,705214.0,595982.0,673377.0,650578.0,623620.0,609080.0,483505.0,464104.0,10,-4.245112670493167,3
197,56485,1108517.0,1190817.0,1142486.0,1045257.0,1058132.0,894881.0,1041840.0,983163.0,1152089.0,1116246.0,10,0.06950598201227454,3
198,56487,540259.0,556665.0,544463.0,483372.0,555512.0,468282.0,544026.0,497186.0,646622.0,578028.0,10,0.6780248128171129,3
199,56488,352083.0,369834.0,382167.0,373487.0,373187.0,365169.0,328083.0,333006.0,275094.0,301009.0,10,-1.5550500561216207,3
200,56493,47492.0,46745.0,51140.0,45841.0,37747.0,43327.0,41009.0,37976.0,39185.0,28186.0,10,-5.083591048297665,3
201,56494,331318.0,344121.0,358122.0,346237.0,336017.0,328744.0,298524.0,303820.0,289511.0,244613.0,10,-2.9884484995344796,3
