,plant_id,YEAR,uptime
1389,56302,2020,1389.677966
209,10191,2015,1390.45977
7081,58608,2015,1390.526316
2818,56767,2021,1397.321918
2063,56493,2016,1398.037037
1130,56174,2021,1398.901961
728,55795,2018,1399.089744
7914,59639,2015,1399.5
143,7886,2018,1400.363636
7576,59070,2019,1405.034965
8723,61876,2018,1405.322256
1510,56351,2021,1406.060606
2066,56493,2019,1406.518519
805,55944,2015,1410
700,55769,2020,1410.695652
3173,56838,2020,1410.7
199,10005,2014,1413.045977
6013,57855,2014,1413.125
5207,57474,2020,1416.4
6518,58065,2014,1416.666667
598,55579,2018,1420.625
1609,56376,2020,1421.176471
9040,64326,2021,1421.73913
331,50553,2019,1425
6607,58104,2016,1425
534,55368,2014,1425.606061
198,10005,2013,1426.551724
316,50552,2014,1428.463476
424,54686,2013,1429.261993
319,50552,2017,1431.209068
546,55396,2016,1431.515152
5406,57594,2013,1432
9030,64052,2021,1434.5
533,55368,2013,1436.212121
317,50552,2015,1436.675063
7262,58774,2014,1441.807453
6608,58104,2017,1442
8758,61984,2019,1443.769956
7363,58891,2019,1448.05668
1362,56300,2013,1450.266667
520,55353,2020,1451.25
2067,56493,2020,1451.296296
144,7886,2019,1452.454545
970,56081,2021,1455.450875
101,7501,2014,1456.666667
4320,57177,2013,1456.788247
3491,56942,2018,1457.224806
318,50552,2016,1457.657431
68,2022,2021,1458
7373,58900,2015,1460.216884
758,55804,2018,1460.625
2385,56618,2018,1461.034826
4938,57374,2021,1462.019465
141,7886,2016,1463.545455
9028,64051,2021,1464.8
521,55353,2021,1465.357143
235,10597,2021,1465.862069
2457,56633,2020,1466.16
6521,58065,2017,1468
4545,57258,2018,1469.473684
364,50821,2013,1469.633333
5690,57741,2020,1471.428571
3953,57087,2021,1473.5
4716,57293,2019,1473.519608
5563,57643,2013,1474.55
6612,58104,2021,1475
544,55396,2014,1475.454545
5444,57613,2021,1476.4
599,55579,2019,1478.025
6610,58104,2019,1479
9032,64053,2021,1479.4
1100,56162,2021,1480.892256
717,55790,2017,1481.6
332,50553,2020,1482
1182,56215,2013,1482.5
7105,58657,2016,1488.02
5570,57643,2020,1489.444444
649,55739,2019,1490.783133
7917,59639,2018,1492.5
251,10823,2018,1493.25
7913,59639,2014,1493.5
3143,56835,2020,1494.4
3153,56836,2020,1494.6
4658,57286,2021,1495.187747
142,7886,2017,1496.363636
3183,56839,2020,1499.3
8697,61788,2018,1500
1040,56111,2021,1500.90625
2378,56617,2021,1502.043796
408,54453,2017,1503.741935
5297,57529,2020,1503.884058
5496,57626,2021,1504
7942,59692,2016,1504.666667
8937,62935,2021,1505
8907,62715,2021,1505.613548
233,10597,2019,1505.724138
6092,57880,2013,1506
2388,56618,2021,1506.268657
7765,59328,2014,1509
1205,56226,2016,1512.777778
679,55742,2019,1513.6
2167,56555,2020,1515.550794
900,56002,2021,1516.315789
597,55579,2017,1517.65
2065,56493,2018,1518.851852
6890,58407,2021,1519.375
207,10191,2013,1520.45977
6606,58104,2015,1521
4045,57107,2013,1522.019608
1083,56160,2014,1523.373016
140,7886,2015,1523.454545
4727,57294,2020,1525.291667
3084,56818,2021,1525.848485
6737,58162,2019,1526.797386
1119,56173,2020,1527.240741
7357,58887,2021,1527.966
5565,57643,2015,1528.333333
899,56002,2020,1528.421053
2482,56636,2015,1529.095238
3113,56826,2020,1529.52381
8925,62837,2021,1530.656623
5908,57813,2019,1531.8
189,7974,2014,1534.615385
7947,59692,2021,1534.666667
5964,57837,2015,1534.742424
3923,57080,2021,1536.65
4408,57198,2021,1537.80924
7790,59331,2015,1539.375
5968,57837,2019,1543.55303
2466,56634,2019,1544.445714
2267,56590,2020,1544.615385
3360,56905,2017,1544.72807
1546,56360,2017,1549.104478
5571,57643,2021,1550.555556
6094,57880,2015,1550.8
759,55804,2019,1550.9875
5443,57613,2020,1551.2
547,55396,2017,1551.515152
8935,62909,2021,1551.538462
7899,59622,2021,1551.875
66,2022,2019,1552
7039,58548,2021,1553.875
1055,56123,2016,1554.434783
676,55742,2016,1555.333333
7941,59692,2015,1555.333333
232,10597,2018,1556.344828
5569,57643,2019,1557.088889
1207,56226,2018,1557.5
200,10005,2015,1558.965517
1208,56226,2019,1559.861111
545,55396,2015,1560.484848
5058,57424,2021,1562.528571
5969,57837,2020,1564.545455
64,2022,2017,1565.75
412,54453,2021,1566.967742
637,55734,2017,1567.151786
1082,56160,2013,1567.321429
6219,57965,2019,1567.8
1608,56376,2019,1568.235294
4724,57294,2017,1568.25
253,10823,2020,1569.975
1729,56408,2020,1571.428571
291,50533,2018,1574.105263
2974,56793,2021,1577.959596
8853,62411,2021,1578.971631
789,55816,2019,1580.452381
135,7855,2020,1580.714286
347,50754,2015,1580.782609
1287,56275,2018,1582.916667
310,50536,2018,1584.655397
214,10191,2020,1586.206897
4854,57333,2017,1586.666667
2196,56562,2019,1587.7
4717,57293,2020,1587.833333
7967,59725,2021,1588
7943,59692,2017,1589.777778
2007,56479,2020,1590.044444
4328,57177,2021,1590.633869
6609,58104,2018,1592
8526,61106,2019,1592.281463
1183,56215,2014,1593.333333
6604,58104,2013,1594
145,7886,2020,1594.818182
4714,57293,2017,1595.607843
1084,56160,2015,1596.289683
208,10191,2014,1597.126437
1798,56433,2021,1597.8
1110,56172,2021,1597.977011
457,54979,2017,1599.504373
8871,62488,2019,1600.050176
1019,56099,2020,1600.097561
7646,59222,2016,1600.401003
6605,58104,2014,1602
2064,56493,2017,1604.703704
760,55804,2020,1605.4625
2964,56792,2021,1605.793651
4721,57294,2014,1606.553571
7360,58891,2016,1607.105263
7898,59622,2020,1608.875
346,50754,2014,1609.188406
5567,57643,2017,1610
677,55742,2017,1610.266667
139,7886,2014,1610.636364
698,55769,2018,1610.695652
445,54909,2015,1610.86758
213,10191,2019,1613.563218
940,56052,2021,1614.666667
6620,58105,2019,1616
211,10191,2017,1617.471264
6796,58242,2014,1620.068807
708,55782,2018,1621.333333
7993,59735,2019,1623.2
7488,58992,2021,1623.529412
292,50533,2019,1625.052632
3364,56905,2021,1625.201754
356,50820,2015,1626.57
4096,57112,2014,1629.878788
4728,57294,2021,1632.39881
1085,56160,2016,1634.06746
12,508,2015,1634.333333
102,7501,2015,1634.333333
699,55769,2019,1637.304348
7946,59692,2020,1637.333333
320,50552,2018,1637.403599
6619,58105,2018,1638
7489,58994,2015,1638.582996
5958,57834,2019,1638.89881
1350,56297,2021,1639.603774
1290,56275,2021,1641.666667
8402,60865,2021,1642.5
7706,59301,2021,1644
4116,57115,2014,1644.222222
1669,56386,2020,1644.680135
5959,57834,2020,1644.934524
5290,57529,2013,1645.086957
3354,56904,2021,1645.934272
7452,58958,2021,1646.666667
4952,57379,2015,1647.634409
212,10191,2018,1647.931034
2127,56537,2020,1648.209127
2488,56636,2021,1648.333333
2492,56637,2015,1648.761905
7944,59692,2018,1649.777778
4711,57293,2014,1650.196078
2924,56784,2021,1650.671642
7141,58681,2015,1651.333333
8782,62108,2019,1651.333333
7723,59306,2020,1652
5258,57514,2021,1653.83572
7724,59306,2021,1654
8399,60865,2018,1658
16,508,2019,1658.333333
7088,58614,2019,1659.849624
7709,59302,2018,1661.133333
3326,56901,2013,1662.174359
