Plant Id,"Reported
Prime Mover",Plant State,Census Region,NERC Region,"Elec Fuel Consumption
MMBtu","Net Generation
(Megawatthours)",Plant Code,Sector Name,Utility Name,Nameplate Capacity (MW),Summer Capacity (MW),Winter Capacity (MW),Number of Turbines,turbine_capacity (KW),hub_height (m),rotor_diameter (m),rotor_swept area (m2),max_height (m),xlong,ylat,plant_id_x,operation_years_x,CAGR_netgen,plant_id_y,operation_years_y,CACR,plant_id,operation_years,CACR_uptime,uptime,efficiency,avg_tgen,avg_fuel,avg_tcap
7501,WT,MA,NEW,NPCC,34660,3919.0,7501,Electric Utility,Town of Princeton - (MA),3.0,3.0,3.0,2,1500.0,65.0,77.0,4656.63,103.5,-71.8996965,42.47789,7501,10,-0.331814948,7501,10,-0.7558367156712986,7501,9,-1.352353542,1306.3333333333333,0.11306982111944605,1959.5,17330.0,1.5
7526,WT,CA,PACC,WECC,5815416,657555.0,7526,Electric Utility,Sacramento Municipal Util Dist,228.2,228.1,228.2,107,1965.0,69.03846153846153,70.98076923076923,4315.265192307692,104.51346153846154,-121.77022651923077,38.112415,7526,10,0.697907486,7526,10,-0.7557223694693027,7526,9,1.97428599,2881.4855390008765,0.1130710167595921,6145.373831775701,54349.68224299065,2.1327102803738316
7771,WT,NE,WNC,MRO,86104,9736.0,7771,IPP Non-CHP,Bluestem LLC,3.0,3.0,3.0,2,1500.0,65.0,77.0,4656.63,103.6,-99.776089,42.826494,7771,8,0.434438886,7771,8,-0.6520446249583478,7771,8,0.434438886,3245.3333333333335,0.11307256341168818,4868.0,43052.0,1.5
7855,WT,MN,WNC,MRO,12232,1383.0,7855,Electric Utility,City of Moorhead - (MN),1.4,1.4,1.4,2,750.0,55.0,48.0,1809.56,78.95,-96.7310755,46.8951265,7855,10,-1.948827883,7855,10,-0.7549811712480703,7855,9,-2.137783968,987.8571428571429,0.11306409417920209,691.5,6116.0,0.7
7886,WT,WI,ENC,MRO,131872,14911.0,7886,Electric Utility,Madison Gas & Electric Co,11.0,0.7,0.7,17,660.0,65.0,47.0,1734.94,88.4,-87.64168035294118,44.65479835294118,7886,10,-2.666407856,7886,10,-0.755628430155797,7886,9,-2.132256936,1355.5454545454545,0.1130717665615142,877.1176470588235,7757.176470588235,0.6470588235294118
7936,WT,WA,PACC,WECC,2154779,243643.0,7936,Electric Utility,Energy Northwest,95.9,95.0,95.0,63,1522.2222222222222,64.44444444444444,68.88888888888889,3857.7011111111115,98.96666666666665,-119.11137593650794,46.1006576984127,7936,10,0.893540894,7936,10,-0.7557194904717179,7936,9,-0.032274955,2540.594369134515,0.11307099243124237,3867.3492063492063,34202.84126984127,1.5222222222222224
7965,WT,NE,WNC,MRO,19847,2244.0,7965,Electric Utility,Lincoln Electric System,1.2,1.4,1.4,2,660.0,65.0,47.0,1734.94,88.4,-96.6248245,40.903761,7965,10,-2.560310891,7965,10,-0.755020930250927,7965,9,-2.389418191,1870.0,0.11306494684335164,1122.0,9923.5,0.6
7966,WT,IA,WNC,MRO,41912,4739.0,7966,Electric Utility,City of Algona - (IA),2.3,2.3,2.3,3,750.0,50.0,50.0,1963.5,75.0,-94.14083333333333,43.03490166666666,7966,9,-1.765945869,7966,9,-0.8034810770743861,7966,8,8.135486647,2060.434782608696,0.11307024241267417,1579.6666666666667,13970.666666666666,0.7666666666666666
7974,WT,SD,WNC,MRO,5209,589.0,7974,Electric Utility,Basin Electric Power Coop,2.6,2.6,2.6,2,1300.0,60.0,60.0,2827.43,89.9,-99.247841,43.848543,7974,10,-20.68775536,7974,10,-0.7560106227310293,7974,9,-21.26953801,226.53846153846152,0.11307352658859667,294.5,2604.5,1.3
10005,WT,CA,PACC,WECC,129944,14693.0,10005,IPP Non-CHP,International Turbine Res Inc,17.4,17.0,16.0,161,105.0,,,,,-121.18202260493827,37.04147599382716,10005,9,-6.232871353,10005,9,-0.8036179896083628,10005,8,-8.386247024,844.4252873563219,0.1130717847688235,91.26086956521739,807.1055900621118,0.10807453416149067
10191,WT,CA,PACC,WECC,134102,15163.0,10191,IPP Non-CHP,CalWind Resources Inc,8.7,8.7,8.7,134,65.0,,16.5,213.82,,-118.38692007462686,35.058298820895516,10191,10,1.528479732,10191,10,-0.7556892399883997,10191,9,1.097594683,1742.873563218391,0.11307064771591774,113.15671641791045,1000.7611940298508,0.06492537313432835
