Plant Code,Year,Nameplate Capacity (MW)
55566,2013,1.9
55566,2014,1.9
55566,2015,1.9
55566,2016,1.9
55566,2017,1.9
55566,2018,1.9
55566,2019,1.9
55566,2020,1.9
55566,2021,1.9
55567,2013,1.9
55567,2014,1.9
55567,2015,1.9
55567,2016,1.9
55567,2017,1.9
55567,2018,1.9
55567,2019,1.9
55567,2020,1.9
55567,2021,1.9
55568,2013,1.9
55568,2014,1.9
55568,2015,1.9
55568,2016,1.9
55568,2017,1.9
55568,2018,1.9
55568,2019,1.9
55568,2020,1.9
55568,2021,1.9
55569,2013,1.9
55569,2014,1.9
55569,2015,1.9
55569,2016,1.9
55569,2017,1.9
55569,2018,1.9
55569,2019,1.9
55569,2020,1.9
55569,2021,1.9
55570,2013,1.9
55570,2014,1.9
55570,2015,1.9
55570,2016,1.9
55570,2017,1.9
55570,2018,1.9
55570,2019,1.9
55570,2020,1.9
55570,2021,1.9
55571,2013,1.9
55571,2014,1.9
55571,2015,1.9
55571,2016,1.9
55571,2017,1.9
55571,2018,1.9
55571,2019,1.9
55571,2020,1.9
55571,2021,1.9
55572,2013,1.9
55572,2014,1.9
55572,2015,1.9
55572,2016,1.9
55572,2017,1.9
55572,2018,1.9
55572,2019,1.9
55572,2020,1.9
55572,2021,1.9
55573,2013,1.9
55573,2014,1.9
55573,2015,1.9
55573,2016,1.9
55573,2017,1.9
55573,2018,1.9
55573,2019,1.9
55573,2020,1.9
55573,2021,1.9
55574,2013,1.9
55574,2014,1.9
55574,2015,1.9
55574,2016,1.9
55574,2017,1.9
55574,2018,1.9
55574,2019,1.9
55574,2020,1.9
55574,2021,1.9
55576,2013,1.9
55576,2014,1.9
55576,2015,1.9
55576,2016,1.9
55576,2017,1.9
55576,2018,1.9
55576,2019,1.9
55576,2020,1.9
55576,2021,1.9
55578,2013,1.3
55578,2014,1.3
55578,2015,1.3
55579,2013,80.0
55579,2014,80.0
55579,2015,80.0
55579,2016,80.0
55579,2017,80.0
55579,2018,80.0
55579,2019,80.0
55579,2020,80.0
55579,2021,80.0
55581,2013,278.0
55581,2014,278.0
55581,2015,278.0
55581,2016,278.0
55581,2017,278.0
55581,2018,278.0
55581,2019,278.0
55581,2020,278.0
55581,2021,278.0
55607,2013,41.4
55607,2014,41.4
55607,2015,41.4
55607,2016,41.4
55607,2017,41.4
55607,2018,41.4
55607,2019,41.4
55607,2020,41.4
55607,2021,41.4
55608,2013,1.8
55608,2014,1.8
55608,2015,1.8
55608,2016,1.8
55608,2017,1.8
55608,2018,1.8
55608,2019,1.8
55609,2013,24.8
55609,2014,24.8
55609,2015,24.8
55609,2016,24.8
55609,2017,24.8
55609,2018,24.8
55609,2019,24.8
55610,2013,16.8
55610,2014,16.8
55610,2015,16.8
55610,2016,16.8
55610,2017,16.8
55610,2018,16.8
55610,2019,16.8
55719,2013,66.6
55719,2014,66.6
55719,2015,66.6
55719,2016,66.6
55719,2017,66.6
55719,2018,66.6
55719,2019,64.8
55719,2020,64.8
55734,2013,112.0
55734,2014,112.0
55734,2015,112.0
55734,2016,112.0
55734,2017,112.0
55734,2018,112.0
55734,2019,112.0
55734,2020,112.2
55734,2021,112.2
55739,2013,49.8
55739,2014,49.8
55739,2015,49.8
55739,2016,49.8
55739,2017,49.8
55739,2018,49.8
55739,2019,49.8
55739,2020,49.8
55739,2021,49.8
55740,2013,50.0
55740,2014,50.0
55740,2015,50.0
55740,2016,50.0
55740,2017,50.0
55740,2018,50.0
55740,2019,50.0
55740,2020,50.0
55740,2021,50.0
55741,2013,29.7
55741,2014,29.7
55741,2015,29.7
55741,2016,29.7
55741,2017,29.7
55741,2018,29.7
55741,2019,29.7
55741,2020,29.7
55741,2021,29.7
55742,2013,30.0
55742,2014,30.0
55742,2015,30.0
55742,2016,30.0
55742,2017,30.0
55742,2018,30.0
55742,2019,30.0
55742,2020,30.0
55742,2021,30.0
55747,2013,82.5
55747,2014,82.5
55747,2015,82.5
55747,2016,82.5
55747,2017,82.5
55747,2018,82.5
55747,2019,82.5
55747,2020,82.5
55747,2021,82.5
55769,2013,11.5
55769,2014,11.5
55769,2015,11.5
55769,2016,11.5
55769,2017,11.5
55769,2018,11.5
55769,2019,11.5
55769,2020,11.5
55769,2021,11.5
55782,2013,1.5
55782,2014,1.5
55782,2015,1.5
55782,2016,1.5
55782,2017,1.5
55782,2018,1.5
55782,2019,1.5
55782,2020,1.5
55782,2021,1.5
55790,2013,30.0
55790,2014,30.0
55790,2015,30.0
55790,2016,30.0
55790,2017,30.0
55790,2018,30.0
55790,2019,30.0
55790,2020,30.0
55790,2021,30.0
55795,2013,78.0
55795,2014,78.0
55795,2015,78.0
55795,2016,78.0
55795,2017,78.0
55795,2018,78.0
55795,2019,78.0
55795,2020,78.0
55795,2021,78.0
55796,2013,82.0
55796,2014,82.0
55796,2015,82.0
55796,2016,82.0
55796,2017,82.0
55796,2018,82.0
55796,2019,82.0
55796,2020,82.0
55796,2021,82.0
55803,2013,9.0
